seed,load_condition,submission_time_scale,cluster_shape,node_count,cpus_per_node,total_cpus,policy,jobs_completed,average_wait,median_wait,p95_wait,average_turnaround,throughput,cpu_utilization_percent
9,light,4,2x16,2,16,32,backfill,200,0.000000,0.000000,0,10.035000,0.169779,19.330963
9,light,4,4x8,4,8,32,fcfs,200,0.000000,0.000000,0,10.035000,0.169779,19.330963
9,light,4,4x8,4,8,32,sjf,200,0.000000,0.000000,0,10.035000,0.169779,19.330963
9,light,4,4x8,4,8,32,backfill,200,0.000000,0.000000,0,10.035000,0.169779,19.330963
9,moderate,2,1x32,1,32,32,fcfs,200,0.025000,0.000000,0,10.060000,0.334448,38.080059
9,moderate,2,1x32,1,32,32,sjf,200,0.020000,0.000000,0,10.055000,0.334448,38.080059
9,moderate,2,1x32,1,32,32,backfill,200,0.020000,0.000000,0,10.055000,0.334448,38.080059
9,moderate,2,2x16,2,16,32,fcfs,200,0.025000,0.000000,0,10.060000,0.334448,38.080059
9,moderate,2,2x16,2,16,32,sjf,200,0.020000,0.000000,0,10.055000,0.334448,38.080059
9,moderate,2,2x16,2,16,32,backfill,200,0.020000,0.000000,0,10.055000,0.334448,38.080059
9,moderate,2,4x8,4,8,32,fcfs,200,0.035000,0.000000,0,10.070000,0.334448,38.080059
9,moderate,2,4x8,4,8,32,sjf,200,0.030000,0.000000,0,10.065000,0.334448,38.080059
9,moderate,2,4x8,4,8,32,backfill,200,0.030000,0.000000,0,10.065000,0.334448,38.080059
9,heavy,1,1x32,1,32,32,fcfs,200,2.010000,0.000000,11,12.045000,0.638978,72.753594
9,heavy,1,1x32,1,32,32,sjf,200,1.335000,0.000000,6,11.370000,0.647249,73.695388
9,heavy,1,1x32,1,32,32,backfill,200,1.360000,0.000000,7,11.395000,0.649351,73.934659
9,heavy,1,2x16,2,16,32,fcfs,200,2.685000,0.000000,12,12.720000,0.630915,71.835568
9,heavy,1,2x16,2,16,32,sjf,200,1.795000,0.000000,8,11.830000,0.638978,72.753594
9,heavy,1,2x16,2,16,32,backfill,200,1.520000,0.000000,9,11.555000,0.643087,73.221463
9,heavy,1,4x8,4,8,32,fcfs,200,3.785000,1.000000,13,13.820000,0.625000,71.162109
9,heavy,1,4x8,4,8,32,sjf,200,1.625000,0.000000,8,11.660000,0.645161,73.457661
9,heavy,1,4x8,4,8,32,backfill,200,1.765000,0.000000,11,11.800000,0.643087,73.221463
10,light,4,1x32,1,32,32,fcfs,200,0.015000,0.000000,0,10.780000,0.160514,21.681882
10,light,4,1x32,1,32,32,sjf,200,0.015000,0.000000,0,10.780000,0.160514,21.681882
10,light,4,1x32,1,32,32,backfill,200,0.015000,0.000000,0,10.780000,0.160514,21.681882
10,light,4,2x16,2,16,32,fcfs,200,0.020000,0.000000,0,10.785000,0.160514,21.681882
10,light,4,2x16,2,16,32,sjf,200,0.020000,0.000000,0,10.785000,0.160514,21.681882
10,light,4,2x16,2,16,32,backfill,200,0.020000,0.000000,0,10.785000,0.160514,21.681882
10,light,4,4x8,4,8,32,fcfs,200,0.020000,0.000000,0,10.785000,0.160514,21.681882
10,light,4,4x8,4,8,32,sjf,200,0.020000,0.000000,0,10.785000,0.160514,21.681882
10,light,4,4x8,4,8,32,backfill,200,0.020000,0.000000,0,10.785000,0.160514,21.681882
10,moderate,2,1x32,1,32,32,fcfs,200,0.435000,0.000000,4,11.200000,0.317965,42.950119
10,moderate,2,1x32,1,32,32,sjf,200,0.365000,0.000000,3,11.130000,0.317965,42.950119
10,moderate,2,1x32,1,32,32,backfill,200,0.330000,0.000000,2,11.095000,0.317965,42.950119
10,moderate,2,2x16,2,16,32,fcfs,200,0.490000,0.000000,4,11.255000,0.317965,42.950119
10,moderate,2,2x16,2,16,32,sjf,200,0.385000,0.000000,3,11.150000,0.317965,42.950119
10,moderate,2,2x16,2,16,32,backfill,200,0.445000,0.000000,3,11.210000,0.317965,42.950119
10,moderate,2,4x8,4,8,32,fcfs,200,0.515000,0.000000,4,11.280000,0.317965,42.950119
10,moderate,2,4x8,4,8,32,sjf,200,0.440000,0.000000,3,11.205000,0.317965,42.950119
10,moderate,2,4x8,4,8,32,backfill,200,0.530000,0.000000,5,11.295000,0.317965,42.950119
10,heavy,1,1x32,1,32,32,fcfs,200,6.915000,3.000000,25,17.680000,0.619195,83.639706
10,heavy,1,1x32,1,32,32,sjf,200,3.400000,1.000000,14,14.165000,0.619195,83.639706
